id;slug;title;category;description;year;client;tags;info_block_1_heading;info_block_1_content;info_block_2_heading;info_block_2_content;hero_media_primary;hero_media_secondary;viewer_media;site_status;path
data-viz;data_viz;Thematic Map of Germany;Data Visualisation;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2025;Personal;mapping|data visualisation|germany;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcome;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Data_Viz.rop_image1.0001.jpg;Data_Viz.rop_image1.0002.jpg;Data_Viz.rop_image1.0001.jpg|Data_Viz.rop_image1.0002.jpg|Data_Viz.rop_image1.0003.jpg|Data_Viz.rop_image1.0004.jpg;live;/projects/data_viz
e30;e30;Fat E30;3D;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2025;Personal;3d|simulation|lookdev|render|automotive;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Cars_Pressurized.rop_image1.0001.jpg;Cars_Pressurized.rop_image1.0002.jpg;Cars_Pressurized.rop_image1.0001.jpg|Cars_Pressurized.rop_image1.0002.jpg|Cars_Pressurized.rop_image1.0003.jpg|Cars_Pressurized.rop_image1.0004.jpg;live;/projects/e30
experiments;experiments;Experiments;3D;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2024-2026;Client and Personal;3d|experiments;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;bubble_burst.mp4;ct_scan.mp4;bubble_burst.mp4|ct_scan.mp4|fluid_image.mp4|melting_landscapes.mp4;live;/projects/experiments
ggl;ggl;Anna;Edit;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2026;George, Gina & Lucy;edit|fashion|video;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;GGL_Christmas_Anna_Curtain.mp4;GGL_Christmas_Anna_Stare.mp4;GGL_Christmas_Anna_Curtain.mp4|GGL_Christmas_Anna_Stare.mp4;live;/projects/ggl
glasses;glasses;Glasses;3D;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2025;Personal;3d|product|lookdev|render;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;oct_Glass_Silhuettes_Image_0017_Shot_002_DenoisedBeauty.jpg;oct_Glass_Silhuettes_Image_0030_Shot_004_animation_DenoisedBeauty.jpg;oct_Glass_Silhuettes_Image_0017_Shot_002_DenoisedBeauty.jpg|oct_Glass_Silhuettes_Image_0030_Shot_004_animation_DenoisedBeauty.jpg|oct_Glass_Silhuettes_Image_0089_Shot_1_DenoisedBeauty.jpg;live;/projects/glasses
kapaunenstrasse;kapaunenstraße;Kapaunenstraße 55;Architecture Visualisation;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2025;Architekt Steffen Behr;architecture|visualisation|render|interior|exterior;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;House_01_Garden.jpg;House_02_Garden.jpg;House_01_Garden.jpg|House_02_Garden.jpg|House_06_Front.jpg|House_09_Front.jpg;live;/projects/kapaunenstraße
lookbook;lookbook;Balletshofer FW 2025;Photography;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2025;Balletshofer;photography|fashion|lookbook;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;20241213_Balletshofer_2024_006_ECOM_Look01_1037.jpg;20241213_Balletshofer_2024_006_ECOM_Look01_1095.jpg;20241213_Balletshofer_2024_006_ECOM_Look01_1037.jpg|20241213_Balletshofer_2024_006_ECOM_Look01_1095.jpg|20241213_Balletshofer_2024_006_ECOM_Look02_1158.jpg|20241213_Balletshofer_2024_006_ECOM_Look04_1409.jpg;live;/projects/lookbook
shopping-tour;shopping_tour;Shopping Tour;3D;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2026;Personal;3d|animation|environment;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;shopping_tour.mp4;shopping_tour_01.png;shopping_tour.mp4|shopping_tour_01.png|shopping_tour_02.png;archived;/projects/shopping_tour
su7;su7;Xiaomi SU7 Max;3D;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;2026;Personal;3d|automotive|spec work|render;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;Xaomi_SU7.rop_image1.0001.jpg;Xaomi_SU7.rop_image1.0003.jpg;Xaomi_SU7.rop_image1.0001.jpg|Xaomi_SU7.rop_image1.0003.jpg|Xaomi_SU7.rop_image1.0004.jpg;live;/projects/su7
vfx;vfx;Skrrt Cobain - So High;VFX;Music campaign work for Skrrt Cobain in collaboration with Scholz & Friends and Sony Music, connected to a Bundesministerium für Verkehr campaign.;2024;Scholz & Friends;vfx|music video|campaign|compositing;Approach;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.;Outcomes;Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.;SoHigh_VFXBD_Spktrm_comp.mp4;SoHigh_VFXBD_Spktrm_comp.mov;SoHigh_VFXBD_Spktrm_comp.mp4|SoHigh_VFXBD_Spktrm_comp.mov;live;/projects/vfx
